ringnr year island stage age nestling_age cohort FROH sex damringnr sireringnr first_island last_island first_year last_year first_stage first_age last_age type first_DNA_nestage Fhat2
8598501 1995 28 a 1 NA 1994 0.0408984752830954 f NA NA 33 28 1994 1999 j 0 5 obs NA 0.0430217
8537699 1995 20 a 1 NA 1994 0 m F0283 M0259 20 20 1994 1999 j 0 5 capt NA -0.00552152
8573864 1995 20 a 1 NA 1994 0.00632955721822412 f F0283 M0259 20 20 1994 1998 n 0 4 capt 5 0.0176103
8537728 1995 27 a 1 NA 1994 0.0174053536115472 f F0178 NA 27 27 1994 2001 n 0 7 capt 5 0.0226809
8573752 1995 33 a 2 NA 1993 0.0103328848205609 m NA NA 33 33 1994 1998 a 1 5 obs NA 0.0401165
8537652 1995 26 a 2 NA 1993 0 m NA NA 26 26 1994 1999 a 1 6 capt NA -0.210379
8573606 1995 27 a 3 NA 1992 0.0175325454912008 f NA NA 27 27 1993 1998 a 1 6 capt NA 0.0240999
8537612 1995 26 a 1 NA 1994 0.00292908288198904 f F0290 M0264 26 26 1994 2000 n 0 6 capt 11 0.000380196
8573156 1995 26 a 2 NA 1993 0.17862927248057 f NA NA 26 26 1993 2001 n 0 8 capt 7 0.178532
8573856 1995 26 a 2 NA 1993 0.0154664419572373 m NA NA 26 26 1994 1999 a 1 6 capt NA 0.0275842
8573872 1995 28 a 2 NA 1993 0 m NA NA 28 28 1994 1999 a 1 6 obs NA 0.0040654
8573874 1995 28 a 1 NA 1994 0.0039653512557225 m NA NA 28 28 1994 1998 n 0 4 obs 7 0.0238306
8573603 1995 27 a 3 NA 1992 0.015588876883244 f NA NA 27 27 1993 1998 a 1 6 capt NA 0.0182942
8573682 1995 26 a 2 NA 1993 0 f NA NA 26 26 1994 1999 a 1 6 capt NA 0.0281099
8598728 1995 26 j 0 NA 1995 0.00510538917543872 m NA NA 26 26 1995 2000 j 0 5 capt NA -0.0390261
8414812 1995 28 a 3 NA 1992 0 u NA NA 28 28 1993 1999 a 1 7 capt NA -0.204719
8598748 1995 27 n 0 18 1995 0.238978025139367 f F0065 M0075 27 27 1995 2000 n 0 5 nest 18 0.199119
8573896 1995 27 a 1 NA 1994 0.00902244602556523 m F0186 M0170 27 27 1994 2001 n 0 7 obs 10 0.0149715
8573281 1995 24 a 2 NA 1993 0.0196386300879583 f NA NA 24 24 1993 1999 j 0 6 obs NA 0.0203316
8598790 1995 24 a 1 NA 1994 0.0254926278544553 f NA NA 24 24 1995 1998 a 1 4 capt NA -0.130862
8598887 1995 26 n 0 10 1995 0 m NA NA 26 26 1995 1998 n 0 3 nest 10 0.00387622
8573515 1995 28 a 2 NA 1993 0.00338901234316211 m NA NA 28 28 1993 1998 n 0 5 obs 8 -0.00478762
8573683 1995 28 a 2 NA 1993 0.00366506289372286 f NA NA 28 28 1994 1999 a 1 6 obs NA 0.00832664
8598849 1995 28 j 0 NA 1995 0 m F0422 M0153 28 28 1995 1998 j 0 3 capt NA -0.172429
8598907 1995 26 n 0 13 1995 0 f F0339 8573572 26 28 1995 1998 n 0 3 nest 13 0.0270591
8573966 1995 27 a 1 NA 1994 0.23488024935498 m F0065 M0075 27 27 1994 1999 n 0 5 obs 8 0.236172
8598602 1995 28 a 1 NA 1994 0 m NA NA 28 28 1994 2000 j 0 6 obs NA 0.019586
8537700 1995 20 a 1 NA 1994 0 m F0283 M0259 20 20 1994 2001 j 0 7 obs NA 0.0160188
8573567 1995 20 a 2 NA 1993 0.0128655209204026 f NA NA 20 20 1993 1998 j 0 5 capt NA -0.00122818
8573221 1995 26 a 2 NA 1993 0 m NA NA 26 26 1993 1999 n 0 6 capt 13 0.0163975
8537761 1995 22 a 1 NA 1994 0.0741482221452049 m NA NA 22 22 1994 1998 j 0 4 capt NA 0.135744
8414501 1995 20 a 3 NA 1992 0.0245508642931733 f NA NA 20 20 1992 1998 j 0 6 capt NA 0.0167722
8598555 1995 27 n 0 8 1995 0.00370417184834832 f 8537728 NA 27 27 1995 2000 n 0 5 nest 8 0.0149259
8537774 1995 33 a 1 NA 1994 0.0385888610267318 f NA NA 33 33 1994 1998 j 0 4 capt NA 0.0690978
8573608 1995 33 a 2 NA 1993 0.021319193854922 f NA NA 33 33 1994 1998 a 1 5 capt NA 0.0604416
8651701 1995 27 a 1 NA 1994 0.00339192314575079 m NA NA 27 27 1995 1998 a 1 4 capt NA -0.0561252
8414806 1995 27 a 3 NA 1992 0.00710635642268025 m NA NA 27 27 1993 1998 a 1 6 obs NA 0.0342681
8414527 1995 23 a 3 NA 1992 0.00514761280209487 f NA NA 23 23 1992 1998 j 0 6 obs NA 0.0177877
8573187 1995 26 a 2 NA 1993 0.00580025551636732 m NA NA 26 26 1993 2000 n 0 7 capt 3 0.0161358
8573572 1995 26 a 2 NA 1993 0.00475257045388133 m NA NA 26 26 1993 2002 j 0 9 capt NA 0.0301738
8598568 1995 26 a 1 NA 1994 0.00838456119367824 m NA NA 26 26 1995 1998 a 1 4 capt NA 0.0253351
8598887 1995 26 j 0 NA 1995 0 m NA NA 26 26 1995 1998 n 0 3 capt 10 0.00387622
8598907 1995 28 j 0 NA 1995 0 f F0339 8573572 26 28 1995 1998 n 0 3 capt 13 0.0270591
8573683 1996 29 a 3 NA 1993 0.00366506289372286 f NA NA 28 28 1994 1999 a 1 6 capt NA 0.00832664
8573874 1996 28 a 2 NA 1994 0.0039653512557225 m NA NA 28 28 1994 1998 n 0 4 obs 7 0.0238306
8598614 1996 28 a 2 NA 1994 0.0124937989711389 m NA NA 28 28 1994 1999 j 0 5 obs NA 0.0138989
8537728 1996 27 a 2 NA 1994 0.0174053536115472 f F0178 NA 27 27 1994 2001 n 0 7 capt 5 0.0226809
8573896 1996 27 a 2 NA 1994 0.00902244602556523 m F0186 M0170 27 27 1994 2001 n 0 7 obs 10 0.0149715
8573966 1996 27 a 2 NA 1994 0.23488024935498 m F0065 M0075 27 27 1994 1999 n 0 5 obs 8 0.236172
8651701 1996 27 a 2 NA 1994 0.00339192314575079 m NA NA 27 27 1995 1998 a 1 4 obs NA -0.0561252
8537612 1996 26 a 2 NA 1994 0.00292908288198904 f F0290 M0264 26 26 1994 2000 n 0 6 capt 11 0.000380196
8537652 1996 26 a 3 NA 1993 0 m NA NA 26 26 1994 1999 a 1 6 obs NA -0.210379
8573156 1996 26 a 3 NA 1993 0.17862927248057 f NA NA 26 26 1993 2001 n 0 8 obs 7 0.178532
8573187 1996 26 a 3 NA 1993 0.00580025551636732 m NA NA 26 26 1993 2000 n 0 7 obs 3 0.0161358
8573221 1996 26 a 3 NA 1993 0 m NA NA 26 26 1993 1999 n 0 6 obs 13 0.0163975
8573572 1996 26 a 3 NA 1993 0.00475257045388133 m NA NA 26 26 1993 2002 j 0 9 obs NA 0.0301738
8598728 1996 26 a 1 NA 1995 0.00510538917543872 m NA NA 26 26 1995 2000 j 0 5 capt NA -0.0390261
8598887 1996 26 a 1 NA 1995 0 m NA NA 26 26 1995 1998 n 0 3 capt 10 0.00387622
8573515 1996 28 a 3 NA 1993 0.00338901234316211 m NA NA 28 28 1993 1998 n 0 5 obs 8 -0.00478762
8573872 1996 28 a 3 NA 1993 0 m NA NA 28 28 1994 1999 a 1 6 obs NA 0.0040654
8598501 1996 28 a 2 NA 1994 0.0408984752830954 f NA NA 33 28 1994 1999 j 0 5 obs NA 0.0430217
8598602 1996 28 a 2 NA 1994 0 m NA NA 28 28 1994 2000 j 0 6 capt NA 0.019586
8573815 1996 24 a 2 NA 1994 0.0194998856065909 m NA NA 24 24 1994 1998 j 0 4 obs NA 0.0597715
8573989 1996 24 a 2 NA 1994 0.0240480995970181 f NA NA 24 24 1994 1998 j 0 4 capt NA 0.0367389
8598790 1996 24 a 2 NA 1994 0.0254926278544553 f NA NA 24 24 1995 1998 a 1 4 capt NA -0.130862
8651511 1996 24 a 1 NA 1995 0.00293391911819671 m NA NA 24 24 1996 1999 a 1 4 capt NA -0.0103309
8651512 1996 24 a 1 NA 1995 0 m 8573608 M0375 24 24 1996 1999 a 1 4 capt NA -0.00705251
8598631 1996 23 a 2 NA 1994 0.00358732067983663 u NA NA 23 23 1995 2000 a 1 6 capt NA -0.0689425
8573281 1996 24 a 3 NA 1993 0.0196386300879583 f NA NA 24 24 1993 1999 j 0 6 obs NA 0.0203316
8573683 1996 28 a 3 NA 1993 0.00366506289372286 f NA NA 28 28 1994 1999 a 1 6 obs NA 0.00832664
8598849 1996 28 a 1 NA 1995 0 m F0422 M0153 28 28 1995 1998 j 0 3 obs NA -0.172429
8651514 1996 23 a 1 NA 1995 0.0260738822857842 m NA NA 23 23 1996 1999 a 1 4 capt NA -0.0670905
8537699 1996 20 a 2 NA 1994 0 m F0283 M0259 20 20 1994 1999 j 0 5 capt NA -0.00552152
8573567 1996 20 a 3 NA 1993 0.0128655209204026 f NA NA 20 20 1993 1998 j 0 5 capt NA -0.00122818
8651621 1996 20 n 0 9 1996 0.00625956204313424 f 8414501 8537700 20 20 1996 2000 n 0 4 nest 9 0.0188812
8573682 1996 26 a 3 NA 1993 0 f NA NA 26 26 1994 1999 a 1 6 capt NA 0.0281099
8573603 1996 27 a 4 NA 1992 0.015588876883244 f NA NA 27 27 1993 1998 a 1 6 capt NA 0.0182942
8414806 1996 27 a 4 NA 1992 0.00710635642268025 m NA NA 27 27 1993 1998 a 1 6 capt NA 0.0342681
8651515 1996 26 n 0 5 1996 0 u F0485 8573572 26 27 1996 1999 n 0 3 nest 5 -0.164599
8598907 1996 28 a 1 NA 1995 0 f F0339 8573572 26 28 1995 1998 n 0 3 capt 13 0.0270591
8651522 1996 28 n 0 4 1996 0.00333605159256012 f F0138 M0153 28 28 1996 1998 n 0 2 nest 4 0.0214061
8651524 1996 28 a 1 NA 1995 0 m NA NA 28 28 1996 1998 a 1 3 capt NA -0.176998
8651525 1996 28 a 1 NA 1995 0.00320281158612691 m F0422 M0153 28 28 1996 1999 a 1 4 capt NA -0.14717
8537700 1996 20 a 2 NA 1994 0 m F0283 M0259 20 20 1994 2001 j 0 7 capt NA 0.0160188
8651527 1996 27 j 0 NA 1996 0.0178523939935532 f NA NA 27 27 1996 1998 j 0 2 capt NA -0.00188422
8651515 1996 26 n 0 NA 1996 0 u F0485 8573572 26 27 1996 1999 n 0 3 nest 5 -0.164599
8651534 1996 26 n 0 9 1996 0.00316447280494904 f NA 8598568 26 26 1996 1998 n 0 2 nest 9 0.0225394
8651539 1996 26 n 0 9 1996 0.0848937273903126 f NA 8598728 26 26 1996 1999 n 0 3 nest 9 0.0681315
8651543 1996 26 n 0 8 1996 0.00406143039330946 f 8573156 NA 26 26 1996 2002 n 0 6 nest 8 -0.00245018
8651548 1996 26 j 0 NA 1996 0.00529999388391674 f F0318 M0288 26 26 1996 1998 j 0 2 capt NA 0.0277722
8598568 1996 26 a 2 NA 1994 0.00838456119367824 m NA NA 26 26 1995 1998 a 1 4 obs NA 0.0253351
8651705 1996 33 n 0 7 1996 0.0144182132429059 m F0403 M0369 33 33 1996 1998 n 0 2 nest 7 0.0311168
8651717 1996 33 n 0 7 1996 0.0145647727195504 f F0238 M0217 33 35 1996 1998 n 0 2 nest 7 0.0312858
8573606 1996 27 a 4 NA 1992 0.0175325454912008 f NA NA 27 27 1993 1998 a 1 6 capt NA 0.0240999
8573608 1996 33 a 3 NA 1993 0.021319193854922 f NA NA 33 33 1994 1998 a 1 5 obs NA 0.0604416
8651566 1996 28 n 0 6 1996 0.264868311666542 f F0158 M0152 28 28 1996 1999 n 0 3 nest 6 0.26349
8573864 1996 20 a 2 NA 1994 0.00632955721822412 f F0283 M0259 20 20 1994 1998 n 0 4 capt 5 0.0176103
8651621 1996 20 j 0 NA 1996 0.00625956204313424 f 8414501 8537700 20 20 1996 2000 n 0 4 capt 9 0.0188812
8651566 1996 28 n 0 NA 1996 0.264868311666542 f F0158 M0152 28 28 1996 1999 n 0 3 nest 6 0.26349
8537774 1996 33 a 2 NA 1994 0.0385888610267318 f NA NA 33 33 1994 1998 j 0 4 obs NA 0.0690978
8573752 1996 33 a 3 NA 1993 0.0103328848205609 m NA NA 33 33 1994 1998 a 1 5 obs NA 0.0401165
8651539 1996 26 j 0 NA 1996 0.0848937273903126 f NA 8598728 26 26 1996 1999 n 0 3 capt 9 0.0681315
8414501 1996 20 a 4 NA 1992 0.0245508642931733 f NA NA 20 20 1992 1998 j 0 6 capt NA 0.0167722
8651576 1996 20 a 1 NA 1995 0.162147560702126 u NA NA 20 20 1996 2000 a 1 5 capt NA 0.197503
8598579 1996 24 a 1 NA 1995 0.0226423065335626 f F0300 M0272 24 24 1996 1998 a 1 3 capt NA 0.0282137
8651534 1996 26 j 0 NA 1996 0.00316447280494904 f NA 8598568 26 26 1996 1998 n 0 2 capt 9 0.0225394
8651543 1996 26 j 0 NA 1996 0.00406143039330946 f 8573156 NA 26 26 1996 2002 n 0 6 capt 8 -0.00245018
8651586 1996 27 n 0 4 1996 0.0031389098421371 m 8573606 NA 27 28 1996 1998 n 0 2 nest 4 0.0115817
8651728 1996 20 n 0 5 1996 0.00525586747580183 m F0283 M0259 20 20 1996 2000 n 0 4 nest 5 0.00690107
8651730 1996 20 n 0 5 1996 0 m F0283 M0259 20 20 1996 2001 n 0 5 nest 5 -0.00719012
8414812 1996 28 a 4 NA 1992 0 u NA NA 28 28 1993 1999 a 1 7 capt NA -0.204719
8598591 1996 24 j 0 NA 1996 0.00463493778584195 f NA NA 24 22 1996 2000 j 0 4 capt NA 0.0412229
8598592 1996 24 a 1 NA 1995 0.00475257045388133 f NA 8598568 24 24 1996 1999 a 1 4 capt NA 0.00533485
8651738 1996 28 j 0 NA 1996 0 m NA 8573872 28 28 1996 1998 j 0 2 capt NA -0.0638736
8537770 1996 33 a 2 NA 1994 0.180790288565869 m NA NA 33 33 1994 1998 j 0 4 obs NA 0.169713
8651597 1996 33 j 0 NA 1996 0.0107436024636489 m F0400 M0366 33 33 1996 2002 j 0 6 capt NA 0.0247186
8651586 1996 27 n 0 NA 1996 0.0031389098421371 m 8573606 NA 27 28 1996 1998 n 0 2 nest 4 0.0115817
8651728 1996 20 n 0 NA 1996 0.00525586747580183 m F0283 M0259 20 20 1996 2000 n 0 4 nest 5 0.00690107
8651730 1996 20 n 0 NA 1996 0 m F0283 M0259 20 20 1996 2001 n 0 5 nest 5 -0.00719012
8598593 1996 28 n 0 7 1996 0.0248342428175663 f F0143 8598614 28 28 1996 1998 n 0 2 nest 7 0.0331706
8598594 1996 28 n 0 7 1996 0.0190554502230105 m F0143 8598614 28 28 1996 1998 n 0 2 nest 7 0.0475554
8598595 1996 28 n 0 7 1996 0.0243185663900838 m F0143 8598614 28 28 1996 1998 n 0 2 nest 7 0.0264721
8598596 1996 28 n 0 7 1996 0.0313104954253962 m F0143 8598614 28 28 1996 1998 n 0 2 nest 7 0.031511
8651743 1996 27 n 0 5 1996 0 m NA NA 27 27 1996 1999 n 0 3 nest 5 0.00446697
8651527 1996 29 j 0 NA 1996 0.0178523939935532 f NA NA 27 27 1996 1998 j 0 2 obs NA -0.00188422
8598599 1996 22 j 0 NA 1996 0.0046479401258101 m NA NA 22 21 1996 1998 j 0 2 capt NA 0.0254657
8651804 1996 26 n 0 10 1996 0.00972836662068278 f NA M0063 26 26 1996 1999 n 0 3 nest 10 0.0103773
8598595 1996 28 n 0 NA 1996 0.0243185663900838 m F0143 8598614 28 28 1996 1998 n 0 2 nest 7 0.0264721
8651656 1996 28 n 0 5 1996 0.00956373072018013 m F0206 M0189 28 28 1996 1998 n 0 2 nest 5 0.0333225
8651658 1996 28 n 0 5 1996 0.0107994400385993 m F0206 M0189 28 28 1996 1998 n 0 2 nest 5 0.0409497
8651743 1996 27 n 0 NA 1996 0 m NA NA 27 27 1996 1999 n 0 3 nest 5 0.00446697
8651754 1996 27 j 0 NA 1996 0.0176125076167889 m F0186 M0170 27 27 1996 1998 j 0 2 capt NA 0.0313243
8651649 1996 28 n 0 6 1996 0 f 8414812 M0200 28 35 1996 1998 n 0 2 nest 6 -0.0250952
8651656 1996 28 n 0 10 1996 0.00956373072018013 m F0206 M0189 28 28 1996 1998 n 0 2 nest 5 0.0333225
8651658 1996 28 n 0 10 1996 0.0107994400385993 m F0206 M0189 28 28 1996 1998 n 0 2 nest 5 0.0409497
8651804 1996 26 j 0 NA 1996 0.00972836662068278 f NA M0063 26 26 1996 1999 n 0 3 capt 10 0.0103773
8651661 1996 24 n 0 11 1996 0.0401512937781312 m NA NA 24 23 1996 1999 n 0 3 nest 11 0.0443833
8651664 1996 23 a 1 NA 1995 0.0260958548812007 f NA NA 23 23 1996 1998 a 1 3 capt NA 0.039543
8651838 1996 33 n 0 11 1996 0.0114836258859826 m NA NA 33 33 1996 1998 n 0 2 nest 11 -0.053168
8651840 1996 33 n 0 9 1996 0.0179126487397471 m F0238 M0217 33 39 1996 1999 n 0 3 nest 9 0.0198194
8651841 1996 33 n 0 9 1996 0.0256562897120684 f F0238 M0217 33 33 1996 1999 n 0 3 nest 9 0.0270556
8651842 1996 28 n 0 6 1996 0.00312555639368548 f F0138 M0153 28 27 1996 1998 n 0 2 nest 6 0.0275821
8651665 1996 28 j 0 NA 1996 0.0145640931547437 m NA NA 28 28 1996 2001 j 0 5 capt NA 0.00960238
8651761 1996 28 n 0 12 1996 0.224692440294569 m NA NA 28 28 1996 1998 n 0 2 nest 12 0.247891
8651860 1996 27 n 0 14 1996 0.0150906426191334 m F0186 M0170 27 27 1996 1999 n 0 3 nest 14 0.0266389
8651842 1996 28 n 0 NA 1996 0.00312555639368548 f F0138 M0153 28 27 1996 1998 n 0 2 nest 6 0.0275821
8651765 1996 33 n 0 8 1996 0.00684200571287481 f F0403 M0369 33 33 1996 1998 n 0 2 nest 8 0.0490123
8651772 1996 24 j 0 NA 1996 0.0153936152621195 f NA NA 24 24 1996 1999 j 0 3 capt NA 0.0274383
8651776 1996 24 j 0 NA 1996 0.133736088742103 m NA NA 24 24 1996 1998 j 0 2 capt NA 0.153506
8651778 1996 24 j 0 NA 1996 0.0203110594641858 f F0308 M0279 24 34 1996 2004 j 0 8 capt NA 0.035615
8651781 1996 24 j 0 NA 1996 0.00528333322007253 f F0125 M0124 24 24 1996 1999 j 0 3 capt NA 0.0161052
8651783 1996 24 a 1 NA 1995 0.00959977030709534 m 8573989 NA 24 24 1996 1998 a 1 3 capt NA 0.0233188
8651784 1996 24 j 0 NA 1996 0.297779635254916 m F0015 M0031 24 24 1996 1999 j 0 3 capt NA 0.284658
8651786 1996 24 j 0 NA 1996 0.0198059162912071 f F0324 M0293 24 24 1996 1998 j 0 2 capt NA 0.0575342
8651789 1996 24 j 0 NA 1996 0 m F0355 M0322 24 24 1996 1999 j 0 3 capt NA 0.00121315
8651790 1996 24 j 0 NA 1996 0.0179297511207156 f F0308 M0279 24 23 1996 1999 j 0 3 capt NA 0.0409754
